Date,Open,High,Low,Close,Adj Close,Volume
22-08-2019,12640,12799,12405.2002,12470,12421.81055,100858
23-08-2019,12499.5,12547.59961,12250,12438.7002,12390.63184,58571
26-08-2019,12621.79981,12621.79981,12230,12391.29981,12343.41504,77906
27-08-2019,12354.09961,12550,12354.09961,12472.29981,12424.10156,92699
28-08-2019,12545,12850,12410,12517.40039,12469.02832,103647
29-08-2019,12643,12890,12610,12716.79981,12667.65723,243927
30-08-2019,12725,12948.79981,12567,12875.2002,12825.44531,124005
03-09-2019,12830,12899,12597.59961,12691,12641.95703,79268
04-09-2019,12699.79981,12750.59961,12387.7002,12480.79981,12432.56934,91435
05-09-2019,12480,12675,12480,12612.2002,12563.46191,52941
06-09-2019,12650,12712.2002,12505,12614,12565.25391,57818
09-09-2019,12629.29981,12900,12564.7002,12836.29981,12786.69531,68341
11-09-2019,12839,12842,12663.29981,12759,12709.69434,105665
12-09-2019,12776.5,12836.2002,12520.29981,12556.90039,12508.375,73503
13-09-2019,12570,12719,12509.5,12689.29981,12640.2627,56507
16-09-2019,12511.90039,12870,12511.90039,12841,12791.37695,48505
17-09-2019,12760,12790,12706,12764.2002,12714.87402,70472
18-09-2019,12844,12890,12650,12869,12819.26856,44518
19-09-2019,12740,12888,12635,12694.90039,12645.8418,77719
20-09-2019,12745,13629.5,12531,13499.40039,13447.2334,284070
23-09-2019,13700,14117.2002,13601.79981,13713.2002,13660.20703,138605
24-09-2019,13720,13800,13310.2002,13430.7002,13378.79883,116332
25-09-2019,13424,13573,13305.09961,13458.5,13406.49121,83246
26-09-2019,13545,14144,13525,13934.59961,13880.75098,897253
27-09-2019,13840,13898.2002,13600,13740.90039,13687.79981,110119
30-09-2019,13740.09961,13992,13680,13889.7002,13836.02441,96499
01-10-2019,13889,13947,13649.90039,13681.5,13628.62891,83545
03-10-2019,13680,13749.59961,13566,13709.79981,13656.81934,40894
04-10-2019,13792,13792,13335.90039,13441,13389.05859,91909
07-10-2019,13508.2002,13698,13460,13603.29981,13550.73145,42763
09-10-2019,13645,13910,13510,13858.29981,13804.74609,93577
10-10-2019,13857,13857,13680,13819.79981,13766.39453,27905
11-10-2019,13819.79981,14075,13819.79981,14032.40039,13978.17383,61075
14-10-2019,14135,14215,13950,14169,14114.24512,70672
15-10-2019,14152.09961,14205,14036,14086.79981,14032.36231,97808
16-10-2019,14099.90039,14403.5,14080,14351.5,14296.04004,67279
17-10-2019,14383,14630.29981,14160,14516.79981,14460.70117,114493
18-10-2019,14519.09961,14943.29981,14403.29981,14835.5,14778.16992,121565
22-10-2019,14888,15111,14836,15020,14961.95703,138011
23-10-2019,15091,15125.79981,14916.2002,14983,14925.09961,58986
24-10-2019,15019,15048,14625.79981,14666,14609.32422,114813
25-10-2019,14779,14900,14461.29981,14803.29981,14746.09375,131479
27-10-2019,null,null,null,null,null,null
29-10-2019,14868,14868,14510,14699.79981,14642.99414,99038
30-10-2019,14887,14998.90039,14750.29981,14967.79981,14909.95801,58061
31-10-2019,14970,15146.90039,14783.79981,14947,14889.23828,80261
01-11-2019,14947,15069.59961,14850.29981,14959.79981,14901.98926,49392
04-11-2019,14988.40039,15091.7002,14801.09961,14813.29981,14756.05566,39581
05-11-2019,14840,14885,14605.40039,14650.2002,14593.58594,83265
06-11-2019,14675,14821,14588.7002,14649.7002,14593.08789,78659
07-11-2019,14710,14790,14551,14711.2002,14654.35059,47438
08-11-2019,14750,14850,14374,14471.29981,14415.37695,82029
11-11-2019,14490,14599.90039,14051.09961,14108.5,14053.97949,145341
13-11-2019,14108.5,14329.59961,14070.2002,14233.2002,14178.19727,66651
14-11-2019,14250,14301,14100,14231.29981,14176.30469,60476
15-11-2019,14261.79981,14437,14153,14295.5,14240.25684,75837
18-11-2019,14349.90039,14349.90039,14059,14085.5,14031.06836,64978
19-11-2019,14110,14211.90039,14009.59961,14117.09961,14062.54492,44787
20-11-2019,14117,14289,13982.5,14228.7002,14173.71484,79418
21-11-2019,14240,14280.2002,14121.09961,14179.5,14124.70508,40484
22-11-2019,14190,14301,14102,14171.5,14116.73535,43132
25-11-2019,14248.2002,14580,14155,14486.79981,14430.81738,74577
26-11-2019,14398.79981,14600,14225.5,14524.40039,14468.27246,199248
27-11-2019,14560,14700,14226.79981,14562.7002,14506.42383,71919
28-11-2019,14635.5,14700,14574,14659.5,14602.84961,45678
29-11-2019,14699,14699,14411,14454,14398.14356,46873
02-12-2019,14454,14631.29981,14285.90039,14557.7002,14501.44336,74954
03-12-2019,14553.29981,14553.29981,14305.79981,14353.5,14298.03223,54872
04-12-2019,14330,14375,14201,14306.2002,14250.91504,55888
05-12-2019,14395.7002,14395.7002,14220,14289.7002,14234.47852,79335
06-12-2019,14301,14324.29981,14149,14166.29981,14111.55566,58487
09-12-2019,14230,14269,14005,14232.5,14177.5,97712
10-12-2019,14224,14243,14031.7002,14091.7002,14091.7002,61800
11-12-2019,14109,14156,14010,14066,14066,48306
12-12-2019,14077.09961,14232.7002,14077.09961,14155,14155,66841
13-12-2019,14190,14389.5,14011,14301.59961,14301.59961,156050
16-12-2019,14260,14430.59961,14137,14151.7002,14151.7002,67072
17-12-2019,14214.90039,14247.09961,14081,14149.2002,14149.2002,81425
18-12-2019,14200,14280,14055.40039,14191.09961,14191.09961,93716
19-12-2019,14192,14299,14100,14285.40039,14285.40039,68692
20-12-2019,14260,14978,14222,14858.2002,14858.2002,423033
23-12-2019,14786,14993.29981,14490,14532.5,14532.5,125031
24-12-2019,14580,14623.2002,14461.79981,14586,14586,39686
26-12-2019,14600,14715,14560,14599.2002,14599.2002,45924
27-12-2019,14648.79981,14689.7002,14574.5,14664.2002,14664.2002,29385
30-12-2019,14679.90039,14900,14600.09961,14851.90039,14851.90039,87720
31-12-2019,14864,14924.29981,14710,14785.29981,14785.29981,62765
01-01-2020,14819,14849.29981,14712.2002,14779,14779,23859
02-01-2020,14848.90039,14853,14687.2002,14729.29981,14729.29981,46116
03-01-2020,14750,14795,14556.09961,14593.59961,14593.59961,40000
06-01-2020,14542,14542,14275,14416.7002,14416.7002,65136
07-01-2020,14423.5,14546.79981,14260.79981,14290.79981,14290.79981,72237
08-01-2020,14191.59961,14450,14120.29981,14391.2002,14391.2002,39488
09-01-2020,14495,14675,14450,14643.5,14643.5,55708
10-01-2020,14643.5,14718.90039,14570.2002,14685.79981,14685.79981,39274
13-01-2020,14747.90039,14747.90039,14601,14658.2002,14658.2002,26990
14-01-2020,14657.90039,14895,14607,14868.59961,14868.59961,50378
15-01-2020,14828,14950,14718.79981,14860.2002,14860.2002,41468
16-01-2020,14851,15398,14848.09961,15354.90039,15354.90039,203208
17-01-2020,15399,15600,15358.7002,15439.5,15439.5,96399
20-01-2020,15230.2002,15479.40039,15230.2002,15417.2002,15417.2002,68770
21-01-2020,15361,15501.59961,15200,15280.79981,15280.79981,63258
22-01-2020,15369,15585,15301,15548.7002,15548.7002,55627
23-01-2020,15500,15625,15455,15548.79981,15548.79981,42861
24-01-2020,15600,15850,15500.2002,15755.5,15755.5,50632
27-01-2020,15700,15845,15560,15666,15666,31362
28-01-2020,15664,15710,15366.79981,15416.7002,15416.7002,53107
29-01-2020,15585,15900,15440,15866.79981,15866.79981,64251
30-01-2020,15802,15810.79981,15471.2002,15520.79981,15520.79981,47252
31-01-2020,15560,15637.2002,15310.29981,15359.5,15359.5,59649
03-02-2020,15589,16500,15530,16301,16301,203752
04-02-2020,16400,16507.90039,16127,16455.59961,16455.59961,116416
05-02-2020,16476,16481.90039,16256,16384.80078,16384.80078,57511
06-02-2020,16399,16549.40039,16157.79981,16285,16285,74084
07-02-2020,16340,16385,16194.59961,16327.79981,16327.79981,41407
10-02-2020,16300,16373.09961,16112,16172.2002,16172.2002,61270
11-02-2020,16240,16300,15950,15997.2002,15997.2002,73350
12-02-2020,16026,16472.59961,15968.5,16297.7002,16297.7002,129011
13-02-2020,16328,16461.5,16277.29981,16412.19922,16412.19922,151228
14-02-2020,16500,16782.40039,16250,16356.5,16356.5,165708
17-02-2020,16413,16615,16373,16588.40039,16588.40039,139788
18-02-2020,16569.90039,16569.90039,16385.09961,16403.80078,16403.80078,90013
19-02-2020,16538.59961,16831.5,16475.80078,16785.09961,16785.09961,95000
20-02-2020,16740,16740,16525.40039,16539.5,16539.5,65732
24-02-2020,16499,16576.80078,16317,16337.2002,16337.2002,66516
25-02-2020,16373,16540.80078,16309.29981,16380.5,16380.5,90916
26-02-2020,16545,16545,16150,16240.2002,16240.2002,116839
27-02-2020,16300,16340.79981,16057.5,16263.79981,16263.79981,90199
28-02-2020,16042,16129,15680,15778.79981,15778.79981,140673
02-03-2020,15950,16315,15901,16110,16110,117232
03-03-2020,16130.2002,16499,16130.2002,16359.40039,16359.40039,93372
04-03-2020,16397,16632.5,16020,16541.5,16541.5,111711
05-03-2020,16550,16835.19922,16482.5,16576.30078,16576.30078,85090
06-03-2020,16358.09961,16565.59961,16200.09961,16429.30078,16429.30078,86212
09-03-2020,16249.29981,16350,15701.09961,16031.29981,16031.29981,123684
11-03-2020,16005.2002,16200,15772.79981,16048.5,16048.5,123732
