"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NESTLEIND","26-Jul-2019","29-Aug-2019","11530","11723.1","11490.7","11694.75","11722.95","11694.75","442","2570.3","345150","2800","      11623.25"
"NESTLEIND","26-Jul-2019","26-Sep-2019","11644.2","11702","11644.2","11702","11702","11755.3","5","29.2","300","250","      11623.25"
"NESTLEIND","26-Jul-2019","31-Oct-2019","0","0","0","11702.1","0","11830.5","0","0","0","0","      11623.25"
"NESTLEIND","29-Jul-2019","29-Aug-2019","11722.95","11754.75","11525.5","11637.2","11644","11637.2","512","2979.72","346150","1000","      11620.25"
"NESTLEIND","29-Jul-2019","26-Sep-2019","11762.6","11762.65","11658.15","11658.15","11658.15","11658.15","4","23.47","400","100","      11620.25"
"NESTLEIND","29-Jul-2019","31-Oct-2019","0","0","0","11702.1","0","11819.85","0","0","0","0","      11620.25"
"NESTLEIND","30-Jul-2019","29-Aug-2019","11660","11733.5","11550","11583.4","11573.8","11583.4","670","3895.78","348350","2200","      11536.55"
"NESTLEIND","30-Jul-2019","26-Sep-2019","0","0","0","11658.15","11658.15","11657.7","0","0","400","0","      11536.55"
"NESTLEIND","30-Jul-2019","31-Oct-2019","0","0","0","11702.1","0","11731.45","0","0","0","0","      11536.55"
"NESTLEIND","31-Jul-2019","29-Aug-2019","11445.1","11749.9","11410","11710.95","11670.15","11710.95","1213","7042.39","344200","-4150","      11675.90"
"NESTLEIND","31-Jul-2019","26-Sep-2019","11579.9","11753.25","11490.6","11753.25","11753.25","11753.25","5","29.05","550","150","      11675.90"
"NESTLEIND","31-Jul-2019","31-Oct-2019","0","0","0","11702.1","0","11870.85","0","0","0","0","      11675.90"
"NESTLEIND","01-Aug-2019","29-Aug-2019","11670.15","11670.15","11451","11593","11600","11593","921","5314.73","346450","2100","      11547.00"
"NESTLEIND","01-Aug-2019","26-Sep-2019","0","0","0","11753.25","11753.25","11663.7","0","0","550","0","      11547.00"
"NESTLEIND","01-Aug-2019","31-Oct-2019","0","0","0","11702.1","0","11737.3","0","0","0","0","      11547.00"
"NESTLEIND","02-Aug-2019","29-Aug-2019","11480.25","11575.2","11375.4","11470.8","11461","11470.8","1446","8290.5","352900","6300","      11411.50"
"NESTLEIND","02-Aug-2019","26-Sep-2019","11480.7","11485","11480.65","11485","11485","11525.55","3","17.22","500","-50","      11411.50"
"NESTLEIND","02-Aug-2019","31-Oct-2019","0","0","0","11702.1","0","11598.25","0","0","0","0","      11411.50"
"NESTLEIND","05-Aug-2019","29-Aug-2019","11610.25","11813.3","11459.1","11591.45","11665.6","11591.45","2858","16581.53","380550","27500","      11712.80"
